Teradata Data Type,Snowflake Data Type
character set unicode not casespecific,
unsigned,"						 "
character set latin not casespecific,
`,
character set unicode not cs,
character set latin not cs,
character set latin,
character set unicode ,
latin,
character set,
 cs ,
not cs,
default 'n',
 uc,
 json ,variant
 graphic ,varbinary
 long varchar ,varchar
 varbyte ,varbinary
 byte ,binary
  blob ,binary
 clob ,varchar
 format '-," , --format '-"
 format'yyyy-mm-dd',
 format,
 with,
not cs,
 'yyyy-mm-ddbhh:mi:ssbt',
 'mm/dd/yyyyhh:mi:ss',
 'mm/dd/yyyyhh:mi:ss.s(6)',
 'yyyy-mm-ddbhh:mi:ss.s(6)',
 'yyyy-mm-ddbhh:mi:ss.s(3)',
 'mm/dd/yyyy hh:mi:ss.s(6)',
 'yyyy-mm-ddbhh:mi:ss',
 'yyyy-mm-dd',
 'mm/dd/yyyy',
 'ddmmyyyy',
 'yyyy/mm/dd',
 'yyyymmdd',
 time zone,
 'yy/mm/dd',
 'mm/dd/yy',
 'mm-dd-yyyy',
 'yyyy',
;,
unicode,
unique,
